compute_processes,cpu_percent,full_sample_ns,gpu_clock_mhz,gpu_memory_bytes,gpu_memory_util_percent,gpu_power_w,gpu_temp_c,gpu_util_percent,major_faults,minor_faults,monotonic_ns,pids,process_swap_bytes,pss_bytes,read_bytes,rss_bytes,swap_in_bytes,swap_out_bytes,swap_used_bytes,system_anon_bytes,system_available_bytes,system_cached_bytes,system_cpu_percent,system_mlocked_bytes,system_sreclaimable_bytes,system_total_bytes,system_used_bytes,time_s,uss_bytes,vmhwm_bytes,vms_bytes,write_bytes
"[{""pid"": 2622421, ""bytes"": 3776970752}]",192.2,2150300970502884,2857,4308992000,3,298.266,68,31,1340,14057368,2150301170722576,"[2622421, 2627614]",0,9442721792,43676663808,9844768768,16965836800,32445517824,434962432,8405856256,184991252480,6835597312,6.7,28299264,2386436096,200083849216,15092596736,2.51358188,9416462336,55925157888,176802328576,100003840
"[{""pid"": 2622421, ""bytes"": 3944742912}]",184.1,2150300970502884,2857,4478861312,3,298.266,68,31,1343,14133036,2150301270834391,"[2622421, 2627614]",0,9442721792,43938623488,10140700672,16965836800,32445517824,434962432,8709955584,184743231488,6838853632,7.5,28299264,2386509824,200083849216,15340617728,2.613693695,9416462336,55925157888,176844824576,103497728
"[{""pid"": 2622421, ""bytes"": 3944742912}]",482.0,2150300970502884,2857,4478861312,3,298.266,68,31,1346,14147837,2150301370939543,"[2622421, 2627614]",0,9442721792,44028235776,10208612352,16965836800,32445517824,434962432,8770801664,184681656320,6841290752,15.2,28299264,2386636800,200083849216,15402192896,2.713798847,9416462336,55925157888,176844824576,107642880
"[{""pid"": 2622421, ""bytes"": 3944742912}]",109.8,2150300970502884,2857,4478861312,3,298.266,68,31,1347,14147848,2150301471059433,"[2622421, 2627614]",0,9442721792,44028235776,10207784960,16965836800,32445517824,434962432,8881868800,184451010560,6842126336,6.2,28299264,2386649088,200083849216,15632838656,2.813918737,9416462336,55925157888,176844824576,107913216
"[{""pid"": 2622421, ""bytes"": 6079643648}]",575.7,2150300970502884,2857,6613762048,3,298.266,68,31,1349,14215281,2150301571242692,"[2622421, 2627614]",0,9442721792,44238594048,10481745920,16965836800,32445517824,434962432,9043222528,183998193664,6849798144,21.3,28299264,2386739200,200083849216,16085655552,2.914101996,9416462336,55925157888,176844824576,110264320
"[{""pid"": 2622421, ""bytes"": 6381633536}]",662.2,2150300970502884,2827,6915751936,7,340.324,73,58,1352,14282712,2150301671402297,"[2622421, 2627614]",0,9442721792,44512407552,10756427776,16965836800,32445517824,434962432,9317900288,183830061056,6853169152,21.2,28299264,2386788352,200083849216,16253788160,3.014261601,9416462336,55925157888,176844824576,112365568
"[{""pid"": 2622421, ""bytes"": 6851395584}]",743.8,2150300970502884,2827,7387611136,7,340.324,73,58,1354,14350133,2150301771512278,"[2622421, 2627614]",0,9442721792,44757368832,11029680128,16965836800,32445517824,434962432,9592233984,183630688256,6849273856,24.4,28299264,2386853888,200083849216,16453160960,3.114371582,9416462336,55925157888,176844824576,114454528
"[{""pid"": 2622421, ""bytes"": 7354712064}]",711.6,2150300970502884,2827,7890927616,7,340.324,73,58,1356,14423337,2150301871627960,"[2622421, 2627614]",0,9442721792,45024030720,11327410176,16965836800,32445517824,434962432,9890639872,183471468544,6853345280,23.1,28299264,2386898944,200083849216,16612380672,3.214487264,9416462336,55925157888,176844824576,116621312
"[{""pid"": 2622421, ""bytes"": 8227127296}]",702.0,2150301971764351,2827,8763342848,7,340.324,73,58,1359,14552958,2150301971764351,"[2622421, 2627614]",0,11679883264,45289869312,11631882240,16965836800,32445517824,434962432,10414682112,183188082688,6856654848,19.2,28299264,2386968576,200083849216,16895766528,3.314623655,11653623808,55925157888,176844824576,118910976
"[{""pid"": 2622421, ""bytes"": 8227127296}]",499.4,2150301971764351,2827,8763342848,7,340.324,73,58,1359,14558110,2150302081926274,"[2622421, 2627614]",0,11679883264,45502259200,11877281792,16965836800,32445517824,434962432,10438664192,183183835136,6866042880,21.1,28299264,2386972672,200083849216,16900014080,3.424785578,11653623808,55925157888,176844824576,120492032
"[{""pid"": 2622421, ""bytes"": 8462008320}]",730.3,2150301971764351,2745,9000321024,9,430.34,73,45,1361,14625564,2150302182049039,"[2622421, 2627614]",0,11679883264,45755273216,12150382592,16965836800,32445517824,434962432,10714624000,182924673024,6859145216,24.1,28299264,2387050496,200083849216,17159176192,3.524908343,11653623808,55925157888,176844824576,122707968
"[{""pid"": 2622421, ""bytes"": 8797552640}]",749.3,2150301971764351,2745,9335865344,9,430.34,73,45,1363,14718240,2150302282164471,"[2622421, 2627614]",0,11679883264,46024261632,12527648768,16965836800,32445517824,434962432,11090526208,182618570752,6864953344,22.8,28299264,2387120128,200083849216,17465278464,3.625023775,11653623808,55925157888,176844824576,124993536
"[{""pid"": 2622421, ""bytes"": 9032433664}]",698.1999999999999,2150301971764351,2745,9570746368,9,430.34,73,45,1365,14803730,2150302382289119,"[2622421, 2627614]",0,11679883264,46328352768,12869398528,16965836800,32445517824,434962432,11438579712,182329307136,6864982016,23.3,28299264,2387173376,200083849216,17754542080,3.725148423,11653623808,55925157888,176844824576,127369216
"[{""pid"": 2622421, ""bytes"": 9367977984}]",681.9000000000001,2150301971764351,2745,9908387840,9,430.34,73,45,1366,14871667,2150302482419309,"[2622421, 2627614]",0,11679883264,46637223936,13151490048,16965836800,32445517824,434962432,11714211840,182028296192,6868332544,21.9,28299264,2387218432,200083849216,18055553024,3.825278613,11653623808,55925157888,176844824576,129495040
"[{""pid"": 2622421, ""bytes"": 9602859008}]",697.7,2150301971764351,2745,10143268864,9,430.34,73,45,1368,14956638,2150302582552133,"[2622421, 2627614, 2627680]",0,11679883264,46939680768,13517594624,16965836800,32445517824,434962432,12067663872,181679538176,6875316224,24.0,28299264,2387300352,200083849216,18404311040,3.925411437,11653623808,55925157888,177549918208,131821568
"[{""pid"": 2622421, ""bytes"": 9971957760}]",795.5,2150301971764351,2722,10512367616,13,466.617,71,67,1370,15029877,2150302682720975,"[2622421, 2627614, 2627685]",0,11679883264,47208775680,13810954240,16965836800,32445517824,434962432,12362719232,181228904448,6871814144,28.7,28299264,2387341312,200083849216,18854944768,4.025580279,11653623808,55925157888,177178103808,134291456
"[{""pid"": 2622421, ""bytes"": 10273947648}]",875.9,2150301971764351,2722,10816454656,13,466.617,71,67,1372,15109835,2150302782913531,"[2622421, 2627614]",0,11679883264,47478284288,14112313344,16965836800,32445517824,434962432,12681908224,180826996736,6876000256,31.4,28299264,2387353600,200083849216,19256852480,4.125772835,11653623808,55925157888,176844824576,136867840
"[{""pid"": 2622421, ""bytes"": 10643046400}]",875.9,2150301971764351,2722,11185553408,13,466.617,71,67,1375,15208132,2150302883168746,"[2622421, 2627614]",0,11679883264,47821438976,14521552896,16965836800,32445517824,434962432,13086609408,180529459200,6884089856,27.7,28299264,2387443712,200083849216,19554390016,4.22602805,11653623808,55925157888,176844824576,139456512
"[{""pid"": 2622421, ""bytes"": 11146362880}]",795.4,2150302983397701,2722,11688869888,13,466.617,71,67,1378,15342007,2150302983397701,"[2622421, 2627614]",0,14868283392,48121171968,14869852160,16965836800,32445517824,434962432,13626335232,180189769728,6883020800,20.7,28299264,2387550208,200083849216,19894079488,4.326257005,14842023936,55925157888,176844824576,141787136
"[{""pid"": 2622421, ""bytes"": 11146362880}]",523.4,2150302983397701,2722,11688869888,13,466.617,71,67,1378,15342930,2150303103858140,"[2622421, 2627614]",0,14868283392,48306458624,15070093312,16965836800,32445517824,434962432,13634347008,180169748480,6891692032,10.0,28299264,2387550208,200083849216,19914100736,4.446717444,14842023936,55925157888,176844824576,143437824
"[{""pid"": 2622421, ""bytes"": 11515461632}]",799.0,2150302983397701,2707,12060065792,11,480.34,68,57,1380,15428404,2150303204063190,"[2622421, 2627614]",0,14868283392,48598843392,15418597376,16965836800,32445517824,434962432,13982883840,179908521984,6891446272,25.9,28299264,2387623936,200083849216,20175327232,4.546922494,14842023936,55925157888,176844824576,145764352
"[{""pid"": 2622421, ""bytes"": 11649679360}]",738.6,2150302983397701,2707,12194283520,11,480.34,68,57,1382,15501648,2150303304182028,"[2622421, 2627614]",0,14868283392,48911388672,15717281792,16965836800,32445517824,434962432,14281019392,179664842752,6889725952,25.0,28299264,2387656704,200083849216,20419006464,4.647041332,14842023936,55925157888,176844824576,148107264
"[{""pid"": 2622421, ""bytes"": 12018778112}]",865.5999999999999,2150302983397701,2707,12563382272,11,480.34,68,57,1384,15594416,2150303404357402,"[2622421, 2627614]",0,14868283392,49211682816,16095477760,16965836800,32445517824,434962432,14658273280,179286417408,6901833728,27.2,28299264,2387730432,200083849216,20797431808,4.747216706,14842023936,55925157888,176844824576,150773760
"[{""pid"": 2622421, ""bytes"": 12421431296}]",784.2,2150302983397701,2707,12968132608,11,480.34,68,57,1386,15679888,2150303504528008,"[2622421, 2627614]",0,14868283392,49509826560,16442478592,16965836800,32445517824,434962432,15006154752,178933698560,6897455104,25.2,28299264,2387791872,200083849216,21150150656,4.847387312,14842023936,55925157888,176844824576,153071616
"[{""pid"": 2622421, ""bytes"": 12689866752}]",762.8,2150302983397701,2707,13236568064,11,480.34,68,57,1388,15765383,2150303604668226,"[2622421, 2627614]",0,14868283392,49849704448,16790880256,16965836800,32445517824,434962432,15354306560,178606456832,6900842496,24.5,28299264,2387865600,200083849216,21477392384,4.94752753,14842023936,55925157888,176844824576,155430912
"[{""pid"": 2622421, ""bytes"": 13025411072}]",828.5,2150302983397701,2700,13572112384,15,482.464,73,74,1390,15838614,2150303704800539,"[2622421, 2627614]",0,14868283392,50129076224,17088786432,16965836800,32445517824,434962432,15653228544,178337099776,6901481472,27.4,28299264,2387939328,200083849216,21746749440,5.047659843,14842023936,55925157888,176844824576,157712384
"[{""pid"": 2622421, ""bytes"": 13360955392}]",841.2,2150302983397701,2700,13909753856,15,482.464,73,74,1392,15931354,2150303804981824,"[2622421, 2627614, 2627690]",0,14868283392,50432339968,17524678656,16965836800,32445517824,434962432,16072536064,177915146240,6904176640,26.9,28299264,2387980288,200083849216,22168702976,5.147841128,14842023936,55925157888,177549918208,160288768
"[{""pid"": 2622421, ""bytes"": 13730054144}]",769.0,2150302983397701,2700,14278852608,15,482.464,73,74,1394,16012505,2150303905111372,"[2622421, 2627614, 2627695]",0,14868283392,50702221312,17803702272,16965836800,32445517824,434962432,16362545152,177349828608,6903582720,27.6,28299264,2388037632,200083849216,22734020608,5.247970676,14842023936,55925157888,177549918208,162648064
"[{""pid"": 2622421, ""bytes"": 14032044032}]",695.4,2150304005237994,2700,14580842496,12,484.246,69,60,1397,16115447,2150304005237994,"[2622421, 2627614]",0,18136903680,50983043072,18087137280,16965836800,32445517824,434962432,16779472896,176865452032,6909292544,18.3,28299264,2388152320,200083849216,23218397184,5.348097298,18110644224,55925157888,176844824576,164904960
"[{""pid"": 2622421, ""bytes"": 14099152896}]",466.6,2150304005237994,2700,14647951360,12,484.246,69,60,1397,16133541,2150304135145498,"[2622421, 2627614]",0,18136903680,51125514240,18288762880,16965836800,32445517824,434962432,16853192704,176795131904,6909947904,40.0,28299264,2388160512,200083849216,23288717312,5.478004802,18110644224,55925157888,176844824576,166563840
